split,user_id,month,age_group,income,credit_score,tenure_months,credit_limit,spend_rent,spend_dining,spend_groceries,spend_travel,spend_rideshare,spend_other,monthly_spend,rent_share,primary_category,purchase_total,statement_balance,payment_rate,payment_amount,balance_new,utilization,apr,interchange_rev,interest_income,reward_cost,funding_cost,default_next,pd_default,chargeoff_loss,profit_true,balance_next
train,1,1,Boomer,93958,718,16,11959.447282610678,137.80260690096674,238.03750580712955,149.87350953232172,274.77847683024544,33.54259024482139,206.61760438398377,1040.6522936994686,0.1324194524292885,travel,1040.6522936994686,1196.6666408390527,0.486712919582484,582.4331145297391,614.2335263093136,0.05135969178127687,0.18181173783818572,15.221291157547228,9.306238738064438,11.05246228374629,2.3033757236599257,0,0.0013324148580586817,0.0,11.171691888205448,614.2335263093136
train,2,1,Boomer,54803,714,8,7505.761406224686,273.0982159845022,300.98092090189215,211.45132413936966,588.526485311283,45.00213112412164,207.89836264685596,1626.9574401080247,0.16785824217157724,travel,1626.9574401080247,1626.9574401080247,0.19969710609544145,324.89869253002,1302.0587475780046,0.17347457201319774,0.14257459721981197,23.60492629200574,15.470041791038904,17.677794619337003,4.882720303417517,0,0.001283689841680642,0.0,16.514453160290124,1302.0587475780046
train,3,1,Boomer,67389,754,40,12068.601383331152,298.69177090668455,61.585470155779916,384.362439010364,0.0,16.735081164885802,281.76323363781796,1043.1379948755323,0.28633965244677395,groceries,1043.1379948755323,1097.6379793696503,0.33412070748287465,366.74357822706054,730.8944011425898,0.060561649020248756,0.18066809587794103,12.21960323099808,11.004108311856642,10.007759502956132,2.740854004284712,0,0.0061788477315457575,0.0,10.475098035613879,730.8944011425898
train,4,1,GenX,57204,727,15,8296.435552703919,230.3872782160328,99.0559481312845,464.1695403442184,360.50372582204704,44.09317960425211,116.00910662939911,1314.218778747234,0.17530359628223177,groceries ,1314.218778747234,1762.7806765033533,0.6348998285153178,1119.189149222095,643.5915272812583,0.07757446233298386,0.16928344580917096,18.38672876753571,9.07911595264654,13.873382101724458,2.4134682273047185,0,0.0031000532314933763,0.0,11.178994391153074,643.5915272812583
train,5,1,Millennial,64325,739,26,10212.091411246782,542.47033149966,650.3865762835426,270.1869350604932,0.0,26.231364946924256,326.5444003644824,1815.8196081551023,0.29874681882679816,dining,1815.8196081551023,1815.8196081551023,0.2387636527428115,433.5517223651329,1382.2678857899693,0.1353560039883358,0.15718242856674655,22.270580592979805,18.105685268190804,18.832111798336072,5.183504571712385,0,0.0016283846128535423,0.0,16.360649491122153,1382.2678857899693
train,6,1,Boomer,48518,721,18,10145.684709003188,260.4020815546337,270.6605059733721,353.31703617515257,99.65202238405412,36.90798821485899,279.1893282979966,1300.128962600068,0.20028942439207537,groceries ,1300.128962600068,1300.128962600068,0.29215556277457205,379.8399087479434,920.2890538521247,0.0907074367327292,0.15863004936491856,17.23550728091582,12.16545817021306,13.2204440143344,3.4510839519454675,0,0.0015780196851247648,0.0,12.729437484849011,920.2890538521247
train,7,1,Boomer,41322,708,28,6468.830618140239,185.41924113139532,122.85040994514645,375.87234022508414,347.9933336463112,17.912239061646442,216.14827475798802,1266.1958387675716,0.14643804335344343,groceries,1266.1958387675716,1636.9941426867533,0.2608982719719815,427.08894305522927,1209.905199631524,0.18703615399028128,0.19483056949457542,18.044770714201107,19.64387658988815,13.189261564404301,4.537144498618215,0,0.010741188788745464,0.0,19.962241241066742,1209.905199631524
train,8,1,Boomer,57425,742,22,9148.872729012939,243.61061323886156,119.72287075154061,399.4990391467099,384.3018598487019,42.96912462689343,389.61226331254477,1579.7157709252524,0.15421167384824983,groceries,1579.7157709252524,1653.6352827888627,0.6233238232119035,1030.7502666660512,622.8850161228115,0.06808325293973282,0.17926678850115302,22.06172800061484,9.305216370485445,16.06895176845481,2.3358188104605433,0,0.0001,0.0,12.96217379218493,622.8850161228115
train,9,1,Boomer,110047,769,4,17914.104355330182,227.419893585432,183.9963410582955,236.48658838664522,350.3387025432221,0.0,218.82074161889017,1217.062267192485,0.1868597028400555,travel,1217.062267192485,1217.062267192485,0.23188528245208667,282.2188275897064,934.8434396027786,0.052184771343292094,0.11940261422810236,16.95450322657489,9.30189588188024,12.801651275890103,3.50566289851042,0,0.0001,0.0,9.949084934054603,934.8434396027786
train,10,1,Millennial,52768,707,51,10393.27052751461,667.7207735087383,169.90585540526456,70.65292462174908,145.45682495873083,54.64601335857523,389.282676281253,1497.6650681343108,0.44584118820407515,rent,1497.6650681343108,1497.6650681343108,0.27681269583489393,414.5727049680087,1083.0923631663022,0.10421092766699175,0.1861015681347287,15.561593036182586,16.797098934999827,14.883456702867171,4.061596361873633,0,0.00654654529673232,0.0,13.413638906441605,1083.0923631663022
